key,kind,baseAttributes,explicit_json,palette_tokens,phase,family,qa,rationale
org.rust.MUT_BINDING,baseAttributes,DEFAULT_IDENTIFIER,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_IDENTIFIER
org.rust.MUT_PARAMETER,baseAttributes,DEFAULT_PARAMETER,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_PARAMETER
org.rust.MUT_STATIC,baseAttributes,DEFAULT_IDENTIFIER,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_IDENTIFIER
org.rust.NUMBER,baseAttributes,DEFAULT_NUMBER,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_NUMBER
org.rust.OPERATORS,baseAttributes,DEFAULT_OPERATION_SIGN,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_OPERATION_SIGN
org.rust.PARAMETER,baseAttributes,DEFAULT_PARAMETER,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_PARAMETER
org.rust.PARENTHESES,baseAttributes,DEFAULT_PARENTHS,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_PARENTHS
org.rust.Q_OPERATOR,baseAttributes,DEFAULT_KEYWORD,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_KEYWORD
org.rust.SEMICOLON,baseAttributes,DEFAULT_SEMICOLON,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_SEMICOLON
org.rust.STATIC,baseAttributes,DEFAULT_IDENTIFIER,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_IDENTIFIER
org.rust.STRING,baseAttributes,DEFAULT_STRING,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_STRING
org.rust.TRAIT,baseAttributes,DEFAULT_INTERFACE_NAME,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_INTERFACE_NAME
org.rust.TYPE_ALIAS,baseAttributes,DEFAULT_CLASS_NAME,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_CLASS_NAME
org.rust.UNION,baseAttributes,DEFAULT_CLASS_NAME,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_CLASS_NAME
org.rust.VALID_STRING_ESCAPE,baseAttributes,DEFAULT_VALID_STRING_ESCAPE,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_VALID_STRING_ESCAPE
org.rust.VARIABLE,baseAttributes,DEFAULT_IDENTIFIER,{},,1.1,Rust,False,Rust plugin synonym → DEFAULT_IDENTIFIER
org.rust.CFG_DISABLED_CODE,explicit,,"{""FOREGROUND"": ""6f6e6d""}",light1,1.1,Rust,False,Muted disabled/cfg-out code ≈ line-number gray light1
org.rust.FORMAT_SPECIFIER,explicit,,"{""FOREGROUND"": ""ffb900""}",accent/yellow,1.1,Rust,False,Format specs are metadata-like; use DEFAULT_METADATA/accent ffb900
org.rust.GENERATED_ITEM,explicit,,"{""FOREGROUND"": ""7f7e7d""}",light2,1.1,Rust,False,Generated/muted code ≈ light2 (folded text family)
org.rust.KEYWORD_UNSAFE,explicit,,"{""FONT_TYPE"": ""1"", ""FOREGROUND"": ""ee7762""}",— DEFAULT_KEYWORD,1.1,Rust,True,Unsafe keyword = keyword color + bold
org.rust.LIFETIME,explicit,,"{""FONT_TYPE"": ""2"", ""FOREGROUND"": ""9896ff""}",— DEFAULT_STATIC_FIELD,1.1,Rust,True,Lifetimes are type-ish violet (static_field 9896ff) + italic
org.rust.MACRO,explicit,,"{""FONT_TYPE"": ""1"", ""FOREGROUND"": ""92d923""}",green,1.1,Rust,True,Macros ≈ function call green + bold (Hiberbee call = 92d923)
org.rust.SELF_PARAMETER,explicit,,"{""FONT_TYPE"": ""2"", ""FOREGROUND"": ""ff638a""}",— DEFAULT_PREDEFINED_SYMBOL / PY.SELF_PARAMETER,1.1,Rust,False,self ≈ predefined/self pink-red (ed005c/ff638a family); use predefined ff638a + italic like PY.SELF
org.rust.UNSAFE_CODE,explicit,,"{""BACKGROUND"": ""302030""}",violetBg,1.1,Rust,True,Unsafe region tint violetBg (302030); softer than redBg so not error-like
HTML_TAG,explicit,,"{""FOREGROUND"": ""ff6188""}",— DEFAULT_TAG / CSS.TAG_NAME,1.2,HTML,False,HTML tags use tag pink ff6188 (CSS.TAG_NAME / DEFAULT_TAG)
HTML_ATTRIBUTE_NAME,explicit,,"{""FOREGROUND"": ""a9dc76""}",— CSS.ATTRIBUTE-ish green a9dc76,1.2,HTML,False,Attr names green a9dc76 (align CSS.CLASS_NAME / CUSTOM_KEYWORD2)
HTML_ATTRIBUTE_VALUE,baseAttributes,DEFAULT_STRING,{},,1.2,HTML,False,Attribute values are strings
HTML_ENTITY_REFERENCE,baseAttributes,DEFAULT_ENTITY,{},,1.2,HTML,False,HTML entities → DEFAULT_ENTITY
HTML_CUSTOM_TAG_NAME,explicit,,"{""FOREGROUND"": ""409cff""}",blue,1.2,HTML,True,Custom elements ≈ interface blue 409cff (distinct from native tags)
MATCHED_TAG_NAME,explicit,,"{""BACKGROUND"": ""424140""}",dark8,1.2,HTML,True,Matching tag pair subtle fill dark8 (424140)
XML_TAG,explicit,,"{""FOREGROUND"": ""a9dc76""}",— XML_TAG_NAME,1.3,XML,False,Match existing XML_TAG_NAME a9dc76
XML_ATTRIBUTE_NAME,explicit,,"{""FOREGROUND"": ""bfbebd""}",light6,1.3,XML,False,XML attrs secondary light6 (bfbebd); less loud than HTML attrs
XML_ENTITY_REFERENCE,baseAttributes,DEFAULT_ENTITY,{},,1.3,XML,False,XML entities → DEFAULT_ENTITY
XML_NS_PREFIX,explicit,,"{""FOREGROUND"": ""57d1eb""}",— DEFAULT_CLASS_NAME,1.3,XML,False,Namespace prefix cyan class-like 57d1eb
XML_CUSTOM_TAG_NAME,explicit,,"{""FOREGROUND"": ""409cff""}",blue,1.3,XML,False,Custom XML tags ≈ interface blue
PHP_CONSTANT,baseAttributes,DEFAULT_CONSTANT,{},,1.4,PHP,False,PHP constants → DEFAULT_CONSTANT
PHP_HEREDOC_CONTENT,explicit,,"{""FOREGROUND"": ""ccbfaf""}",— DEFAULT_DOC_COMMENT / PHP_HEREDOC_ID,1.4,PHP,False,Heredoc body muted doc-like ccbfaf (align PHP_HEREDOC_ID family)
PHP_PARAMETER,baseAttributes,DEFAULT_PARAMETER,{},,1.4,PHP,False,PHP params → DEFAULT_PARAMETER
PHP_VAR,baseAttributes,DEFAULT_LOCAL_VARIABLE,{},,1.4,PHP,False,PHP vars → DEFAULT_LOCAL_VARIABLE (pin empty → identifier)
PHP_SCRIPTING_BACKGROUND,explicit,,"{""BACKGROUND"": ""222120""}",dark4,1.4,PHP,True,PHP island background dark4 (222120) subtle lift; keep existing EFFECT_TYPE if any
TS.GLOBAL_VARIABLE,baseAttributes,DEFAULT_GLOBAL_VARIABLE,{},,1.5,TypeScript,False,TS globals → DEFAULT_GLOBAL_VARIABLE
TS_AUDIT_FOLLOWUP,process,,{},,1.5,TypeScript,False,Process: audit WebStorm TS.* tree after IDE update; not a color key
CSHARP_AUDIT_FOLLOWUP,process,,{},,1.6,C#,False,Process: audit Rider ReSharper keys; Hiberbee already has 28
CSHARP_KEEP_EXISTING,process,,{},,1.6,C#,False,Keep existing ReSharper.* colors unchanged
CSHARP_BASEATTR_WHERE_SYNONYM,process,,{},,1.6,C#,False,"Where ReSharper key is synonym, prefer baseAttributes to DEFAULT_*"
JS.GLOBAL_FUNCTION,baseAttributes,DEFAULT_FUNCTION_DECLARATION,{},,1.7,JavaScript,False,JS global fn → function decl
JS.GLOBAL_VARIABLE,baseAttributes,DEFAULT_GLOBAL_VARIABLE,{},,1.7,JavaScript,False,JS global var → global variable
JS.INSTANCE_MEMBER_FUNCTION,baseAttributes,DEFAULT_INSTANCE_METHOD,{},,1.7,JavaScript,False,JS methods → instance method
JS.LOCAL_VARIABLE,baseAttributes,DEFAULT_LOCAL_VARIABLE,{},,1.7,JavaScript,False,JS locals → local variable pin
JS.EXPORTED.VARIABLE,baseAttributes,DEFAULT_GLOBAL_VARIABLE,{},,1.7,JavaScript,False,Exported vars ≈ global
JS.KEYWORD,baseAttributes,DEFAULT_KEYWORD,{},,1.7,JavaScript,False,JS keywords → DEFAULT_KEYWORD
JS.VALID_STRING_ESCAPE,baseAttributes,DEFAULT_VALID_STRING_ESCAPE,{},,1.7,JavaScript,False,JS escapes → valid escape
JS.INVALID_STRING_ESCAPE,baseAttributes,DEFAULT_INVALID_STRING_ESCAPE,{},,1.7,JavaScript,False,JS bad escapes → invalid escape
JS.JSX_CLIENT_COMPONENT,explicit,,"{""FOREGROUND"": ""9896ff""}",— DEFAULT_STATIC_FIELD,1.7,JavaScript,True,Client components distinct violet 9896ff (not string green)
REGEXP.BRACES,baseAttributes,DEFAULT_BRACES,{},,2.1,RegExp,False,Regexp braces → braces
REGEXP.BRACKETS,baseAttributes,DEFAULT_BRACKETS,{},,2.1,RegExp,False,Regexp brackets → brackets
REGEXP.PARENTHS,baseAttributes,DEFAULT_PARENTHS,{},,2.1,RegExp,False,Regexp parens → parens
REGEXP.META,baseAttributes,DEFAULT_KEYWORD,{},,2.1,RegExp,False,Regexp meta → keyword
REGEXP.ESC_CHARACTER,baseAttributes,DEFAULT_VALID_STRING_ESCAPE,{},,2.1,RegExp,False,Regexp escapes → valid escape
REGEXP.QUOTE_CHARACTER,baseAttributes,DEFAULT_VALID_STRING_ESCAPE,{},,2.1,RegExp,False,Regexp quotes → escape family
REGEXP.COMMA,baseAttributes,DEFAULT_COMMA,{},,2.1,RegExp,False,Regexp comma → comma
REGEXP.INVALID_STRING_ESCAPE,baseAttributes,DEFAULT_INVALID_STRING_ESCAPE,{},,2.1,RegExp,False,Regexp invalid escape
REGEXP.REDUNDANT_ESCAPE,explicit,,"{""FONT_TYPE"": ""1"", ""FOREGROUND"": ""6f6e6d""}",light1,2.1,RegExp,False,Redundant escape muted light1 + bold
CSS.HASH,explicit,,"{""FOREGROUND"": ""fd971f""}",— CSS.COLOR fd971f,2.2,CSS,False,Color hashes = CSS.COLOR orange fd971f
CSS.IDENT,explicit,,"{""FOREGROUND"": ""a9dc76""}",— CSS.CLASS_NAME a9dc76,2.2,CSS,False,CSS idents ≈ class names a9dc76
CSS.PROPERTY_VALUE,explicit,,"{""FOREGROUND"": ""ee9b70""}",— DEFAULT_PARAMETER,2.2,CSS,False,Property values warm parameter ee9b70
SASS_COMMENT,baseAttributes,DEFAULT_LINE_COMMENT,{},,2.2,CSS,False,SASS comments → line comment (no CSS.COMMENT key in HB)
SASS_IDENTIFIER,pin_empty,,{},,2.2,CSS,False,Pin empty; inherit / DEFAULT_IDENTIFIER
SASS_VARIABLE,baseAttributes,DEFAULT_INSTANCE_FIELD,{},,2.2,CSS,False,SASS vars → instance field
MARKDOWN_AUTO_LINK,explicit,,"{""EFFECT_COLOR"": ""f65f87"", ""EFFECT_TYPE"": ""1"", ""FOREGROUND"": ""f65f87""}",— MARKDOWN.AUTO_LINK f65f87,2.3,Markdown,False,Mirror existing MARKDOWN.AUTO_LINK
MARKDOWN_LINK_TEXT,explicit,,"{""EFFECT_TYPE"": ""1"", ""FOREGROUND"": ""78dce8""}",— MARKDOWN.EXPLICIT_LINK / MARKDOWN_LINK_DEFINITION,2.3,Markdown,False,Link text cyan 78dce8 like EXPLICIT_LINK
MARKDOWN_IMAGE,explicit,,"{""FOREGROUND"": ""f65f87""}",— MARKDOWN.IMAGE,2.3,Markdown,False,Mirror MARKDOWN.IMAGE f65f87
MARKDOWN_VERIFY_DOTTED,process,,{},,2.3,Markdown,False,Verify underscore vs MARKDOWN.* dotted IDs at runtime
CUSTOM_KEYWORD1_ATTRIBUTES,explicit,,"{""FOREGROUND"": ""ee7762""}",— DEFAULT_KEYWORD,2.4,Custom,False,"KW1 = keyword coral ee7762 (KW2 green, KW3 string, KW4 violet already)"
CUSTOM_STRING_ATTRIBUTES,baseAttributes,DEFAULT_STRING,{},,2.4,Custom,False,Custom strings → string
CUSTOM_VALID_STRING_ESCAPE_ATTRIBUTES,baseAttributes,DEFAULT_VALID_STRING_ESCAPE,{},,2.4,Custom,False,Custom escapes → valid
CUSTOM_INVALID_STRING_ESCAPE_ATTRIBUTES,baseAttributes,DEFAULT_INVALID_STRING_ESCAPE,{},,2.4,Custom,False,Custom invalid escapes
JSP_DIRECTIVE_NAME,baseAttributes,DEFAULT_METADATA,{},,2.5,JSP,False,JSP directives ≈ metadata/annotations
JSP_ATTRIBUTE_NAME,baseAttributes,DEFAULT_ATTRIBUTE,{},,2.5,JSP,False,JSP attrs → DEFAULT_ATTRIBUTE
JSP_DIRECTIVE_BACKGROUND,explicit,,"{""BACKGROUND"": ""222120""}",dark4,2.5,JSP,False,Directive region dark4
JSP_SCRIPTING_BACKGROUND,explicit,,"{""BACKGROUND"": ""222120""}",dark4,2.5,JSP,False,Scripting island dark4 like PHP scripting
QUTE_BACKGROUND,explicit,,"{""BACKGROUND"": ""272625""}",dark5,2.5,JSP,False,Qute injection dark5 gutter-adjacent
ANNOTATIONS_LAST_COMMIT_COLOR,color,,"{""value"": ""dfdedd""}",light8,3.1,colors,False,Last-commit author text ≈ light8 near caret/annotations readability
FILESTATUS_RENAMED,color,,"{""value"": ""78dce8""}",— FILESTATUS_MODIFIED,3.1,colors,False,Renamed ≈ modified cyan 78dce8
FILESTATUS_addedOutside,color,,"{""value"": ""a9dc76""}",— FILESTATUS_ADDED,3.1,colors,False,Added-outside ≈ added green a9dc76
FILESTATUS_changelistConflict,color,,"{""value"": ""f65f87""}",— FILESTATUS_CHANGELIST_CONFLICT,3.1,colors,False,Alias of CHANGELIST_CONFLICT f65f87; add if camelCase still read
FILESTATUS_modifiedOutside,color,,"{""value"": ""78dce8""}",— FILESTATUS_MODIFIED_OUTSIDE,3.1,colors,False,Alias of MODIFIED_OUTSIDE 78dce8
FILESTATUS_IDEA_SVN_FILESTATUS_OBSTRUCTED,color,,"{""value"": ""ffd866""}",— FILESTATUS_UNKNOWN,3.1,colors,False,Obstructed ≈ unknown yellow ffd866
FILESTATUS_IDEA_SVN_REPLACED,color,,"{""value"": ""a9dc76""}",— FILESTATUS_ADDED,3.1,colors,False,Replaced ≈ added green
IGNORED_DELETED_LINES_BORDER_COLOR,color,,"{""value"": ""727072""}",— FILESTATUS_DELETED,3.1,colors,False,Ignored-deleted border muted 727072
IGNORED_MODIFIED_LINES_BORDER_COLOR,color,,"{""value"": ""78dce8""}",— FILESTATUS_MODIFIED,3.1,colors,False,Ignored-modified border cyan 78dce8 (parallel to modified)
DOC_COMMENT_GUIDE,color,,"{""value"": ""424140""}",dark8,3.1,colors,False,Doc vertical guide subtle dark8
DOC_COMMENT_LINK,color,,"{""value"": ""409cff""}",blue,3.1,colors,False,Doc links = blue 409cff
FOLDED_TEXT_BORDER_COLOR,color,,"{""value"": ""424140""}",dark8,3.1,colors,False,Fold border dark8
INLINE_REFACTORING_SETTINGS_DEFAULT,color,,"{""value"": ""424140""}",dark8,3.1,colors,False,Inline refactor chrome dark8
INLINE_REFACTORING_SETTINGS_FOCUSED,color,,"{""value"": ""525150""}",dark10,3.1,colors,False,Focused refactor control dark10
INLINE_REFACTORING_SETTINGS_HOVERED,color,,"{""value"": ""474645""}",dark9,3.1,colors,False,Hover refactor control dark9
NEXT_EDIT.DIFF_AFTER_BACKGROUND,color,,"{""value"": ""203020""}",greenBg,3.1,colors,True,Next Edit insertion tint greenBg
NEXT_EDIT.EDIT_RANGE.GUTTER_BACKGROUND,color,,"{""value"": ""302030""}",violetBg,3.1,colors,True,Next Edit range gutter violetBg
NEXT_EDIT.EDIT_RANGE.LINE_BACKGROUND,color,,"{""value"": ""171615""}",dark3,3.1,colors,True,Next Edit line wash dark3 (deeper than gutter)
NEXT_EDIT.INSIGHT_BACKGROUND,color,,"{""value"": ""302030""}",violetBg,3.1,colors,True,Insight panel violetBg
NEXT_EDIT.REMOVAL_BACKGROUND,color,,"{""value"": ""320f0f""}",redBg,3.1,colors,True,Removal suggestion redBg
ScrollBar.Mac.thumbColor,color,,"{""value"": ""424140""}",dark8,3.1,colors,True,Idle Mac thumb dark8 solid (scheme may accept 6-digit); optional alpha via yellowDark pattern only if needed
ScrollBar.Mac.hoverThumbColor,color,,"{""value"": ""525150""}",dark10,3.1,colors,True,Hover Mac thumb dark10 (matches ui.ScrollBar.hoverThumbColor token)
DOC_CODE_BLOCK,explicit,,"{""BACKGROUND"": ""222120"", ""EFFECT_COLOR"": ""424140"", ""FOREGROUND"": ""dfdedd""}",light8;dark4;dark8,3.2,Doc,True,"Quick Doc code block: light text on dark4, border dark8"
DOC_CODE_INLINE,explicit,,"{""BACKGROUND"": ""373635"", ""FOREGROUND"": ""dfdedd""}",light8;dark7,3.2,Doc,False,Inline code chip light8 on dark7
DOC_TIPS_SHORTCUT,explicit,,"{""EFFECT_COLOR"": ""6f6e6d"", ""FOREGROUND"": ""dfdedd""}",light8;light1,3.2,Doc,False,Shortcut tips light8 with light1 outline
INLAY_DEFAULT,explicit,,"{""BACKGROUND"": ""424140"", ""FOREGROUND"": ""7f7e7d""}",light2;dark8,3.2,Inlay,True,Default inlay = hint gray on dark8
INLAY_TEXT_WITHOUT_BACKGROUND,explicit,,"{""FOREGROUND"": ""7f7e7d""}",light2,3.2,Inlay,False,Bare inlay text light2
ANNOTATION_NAME_ATTRIBUTES,baseAttributes,DEFAULT_METADATA,{},,3.2,Java,False,Annotation names → metadata/accent
GO_KEYWORD,baseAttributes,DEFAULT_KEYWORD,{},,4.1,Go,False,Go keyword
GO_BUILTIN_CONSTANT,baseAttributes,DEFAULT_CONSTANT,{},,4.1,Go,False,Go builtin const/var → constant
GO_BUILTIN_VARIABLE,baseAttributes,DEFAULT_CONSTANT,{},,4.1,Go,False,Go builtin const/var → constant
GO_BUILTIN_FUNCTION,explicit,,"{""FOREGROUND"": ""ee9b70""}",— DEFAULT_PARAMETER,4.1,Go,False,Builtin fn names warm parameter (distinct from calls)
GO_BUILTIN_FUNCTION_CALL,baseAttributes,DEFAULT_FUNCTION_CALL,{},,4.1,Go,False,Go calls → function call
GO_EXPORTED_FUNCTION_CALL,baseAttributes,DEFAULT_FUNCTION_CALL,{},,4.1,Go,False,Go calls → function call
GO_LOCAL_FUNCTION_CALL,baseAttributes,DEFAULT_FUNCTION_CALL,{},,4.1,Go,False,Go calls → function call
GO_BUILTIN_TYPE_REFERENCE,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_TYPE_REFERENCE,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_TYPE_SPECIFICATION,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_EXPORTED_INTERFACE_REFERENCE,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_LOCAL_INTERFACE_REFERENCE,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_EXPORTED_STRUCT_REFERENCE,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_LOCAL_STRUCT_REFERENCE,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_PACKAGE_EXPORTED_INTERFACE,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_PACKAGE_LOCAL_INTERFACE,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_PACKAGE_EXPORTED_STRUCT,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_PACKAGE_LOCAL_STRUCT,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_IDENTIFIER,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_LABEL,baseAttributes,DEFAULT_CLASS_NAME,{},,4.1,Go,False,Go types/structs/interfaces → class cyan
GO_FUNCTION_PARAMETER,explicit,,"{""FONT_TYPE"": ""2"", ""FOREGROUND"": ""ee9b70""}",— DEFAULT_PARAMETER,4.1,Go,False,Params/receivers/local members parameter + italic
GO_METHOD_RECEIVER,explicit,,"{""FONT_TYPE"": ""2"", ""FOREGROUND"": ""ee9b70""}",— DEFAULT_PARAMETER,4.1,Go,False,Params/receivers/local members parameter + italic
GO_STRUCT_LOCAL_MEMBER,explicit,,"{""FONT_TYPE"": ""2"", ""FOREGROUND"": ""ee9b70""}",— DEFAULT_PARAMETER,4.1,Go,False,Params/receivers/local members parameter + italic
GO_PACKAGE,baseAttributes,DEFAULT_STATIC_FIELD,{},,4.1,Go,False,Package path ≈ static field violet
GO_PACKAGE_EXPORTED_VARIABLE_CALL,baseAttributes,DEFAULT_STATIC_FIELD,{},,4.1,Go,False,Package path ≈ static field violet
GO_PACKAGE_LOCAL_VARIABLE_CALL,baseAttributes,DEFAULT_STATIC_FIELD,{},,4.1,Go,False,Package path ≈ static field violet
GO_STRING,baseAttributes,DEFAULT_STRING,{},,4.1,Go,False,Go string
GO_NUMBER,baseAttributes,DEFAULT_NUMBER,{},,4.1,Go,False,Go number
GO_BLOCK_COMMENT,baseAttributes,DEFAULT_LINE_COMMENT,{},,4.1,Go,False,Go comments
GO_COMMENT_REFERENCE,baseAttributes,DEFAULT_LINE_COMMENT,{},,4.1,Go,False,Go comments
GO_COMMENT_KEYWORD,explicit,,"{""EFFECT_COLOR"": ""ffb900"", ""EFFECT_TYPE"": ""1"", ""FOREGROUND"": ""ffb900""}",accent,4.1,Go,False,Comment keywords like doc tags
GO_VALID_STRING_ESCAPE,baseAttributes,DEFAULT_VALID_STRING_ESCAPE,{},,4.1,Go,False,Go valid escape
GO_INVALID_STRING_ESCAPE,baseAttributes,DEFAULT_INVALID_STRING_ESCAPE,{},,4.1,Go,False,Go invalid escape
GO_SHADOWING_VARIABLE,explicit,,"{""FOREGROUND"": ""dfdedd""}",light8,4.1,Go,False,Shadowing var slightly bright light8
GO_REASSIGNMENT_IN_SHORT_VAR_DECLARATION,explicit,,"{""EFFECT_COLOR"": ""8e8cb7"", ""EFFECT_TYPE"": ""1"", ""FOREGROUND"": ""8e8cb7""}",— DEFAULT_REASSIGNED_LOCAL_VARIABLE,4.1,Go,False,Reassignment underline like reassigned local
GO_BAD_TOKEN,explicit,,"{""EFFECT_COLOR"": ""f25022"", ""EFFECT_TYPE"": ""2""}",— DEFAULT_INVALID / constant red,4.1,Go,False,Bad token wave error red f25022
GO_COMMA,pin_empty,,{},,4.1,Go,False,Pin empty punctuation
GO_DOT,pin_empty,,{},,4.1,Go,False,Pin empty punctuation
GO_OPERATOR,pin_empty,,{},,4.1,Go,False,Pin empty punctuation
